epoch,loss,lr,val_loss
0,0.00013048617984168231,1e-04,0.00012620302732102573
1,0.00012308945588301867,1e-04,0.00012258271453902125
2,0.00010878041211981326,1e-04,0.00010305908654117957
3,0.00011630326480371878,1e-04,0.000115846713015344
4,0.00011297572200419381,1e-04,0.00010722161823650822
5,0.00011160701251355931,1e-04,0.00012061245797667652
6,0.00010891124838963151,1e-04,0.00011054376227548346
7,0.00011065326543757692,1e-04,0.00013154030602890998
8,0.00010060309432446957,5e-05,0.00011143222218379378
9,9.655374742578715e-05,5e-05,0.00010233533976133913
10,0.0001020974013954401,5e-05,9.299980592913926e-05
11,9.330359171144664e-05,5e-05,9.557331941323355e-05
12,9.740654058987275e-05,5e-05,9.166356176137924e-05
13,9.550234244670719e-05,5e-05,9.603680518921465e-05
14,9.803420107346028e-05,5e-05,0.00011041889956686646
15,9.617822070140392e-05,5e-05,8.047341543715447e-05
16,9.346444858238101e-05,5e-05,8.789186540525407e-05
17,9.337453229818493e-05,5e-05,0.0001205154912895523
18,9.007095650304109e-05,5e-05,0.00010443643986945972
19,9.516665886621922e-05,5e-05,9.484391193836927e-05
20,9.241647785529494e-05,5e-05,9.984646749217063e-05
21,9.063435572898015e-05,2.5e-05,8.846662240102887e-05
22,8.316953608300537e-05,2.5e-05,9.288067667512223e-05
23,8.805817196844146e-05,2.5e-05,0.0001134827034547925
24,8.47454575705342e-05,2.5e-05,9.029253851622343e-05
25,8.586631156504154e-05,2.5e-05,0.0001182267878903076
